target_id,priority,institution_or_source,region,reason,status,notes
target_malaysia_zoo_negara,3,Zoo Negara / Malaysia official media,Malaysia,"Historic Malaysia panda family.",partial,"Captured Xing Xing/Fu Wa, Liang Liang/Feng Yi, Nuan Nuan, Yi Yi, and Sheng Yi; sex and adult current-facility details need more primary confirmation."
target_indonesia_taman_safari,3,Taman Safari Indonesia,Indonesia,"Current Indonesian panda family and first local cub.",partial,"Captured Cai Tao, Hu Chun, and Rio using Xinhua/AP/Setneg/GPG sources; direct Taman Safari or studbook source still preferred for final sex and lineage confirmation."
target_thailand_chiangmai,3,Chiang Mai Zoo,Thailand,"Historic Thailand panda family.",partial,"Captured Chuang Chuang, Lin Hui, and Lin Bing; Chuang Chuang dates need direct primary source."
target_qatar_panda_house,3,Panda House Al Khor,Qatar,"Current Middle East panda holder source.",done,"Captured Suhail and Thuraya from Visit Qatar official tourism page."
target_finland_ahtari,3,Ahtari Zoo,Finland,"Historic Finland panda holder source.",partial,"Captured Ahtari Snowpanda House page plus Yle/AP return records for Lumi and Pyry; exact birth dates and receiving Chinese facility still need source."
target_mexico_chapultepec,3,Chapultepec Zoo / SEDEMA CDMX,Mexico,"Historic Mexico panda lineage and current Xin Xin.",partial,"Captured Xin Xin and main historical Chapultepec lineage; several old dates remain secondary/archival."
target_sandiego_legacy,2,San Diego Zoo legacy panda family,United States,"Historic San Diego breeding line, current San Diego pair, and returned offspring.",partial,"Expanded Bai Yun/Gao Gao/offspring line with official San Diego context plus secondary date/facility rows; needs stronger primary confirmation for returned-cub current locations."
target_smithsonian_legacy,2,Smithsonian National Zoo early panda history,United States,"Founding Ling Ling/Hsing Hsing era and early gift-panda records.",partial,"Captured Ling Ling and Hsing Hsing; unnamed neonatal cub records remain event-only candidates for a later archival pass."
target_huamei_descendants,2,Hua Mei descendant line,China,"Important descendant line from first surviving US-born panda after her return to China.",partial,"Added China Daily/Xinhua confirmation for Hua Mei's unnamed male eighth cub matching Yang Hu's birth date; most offspring rows still need official studbook/base records before promotion."
target_gpg_domestic_index_batch_1,2,Giant Panda Global domestic zoo indexes,China,"Fast discovery expansion for domestic zoo current, historical, and deceased individuals not yet covered by primary-source batches.",partial,"Added Hangzhou, Linyi, Tianjin, Guangzhou, Yangzhou, Jinan, and Nanning discovery rows from GPG zoo indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_2,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Chongqing, Wuhan, and Dalian Forest Zoo discovery rows from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_3,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Fuzhou Panda World and Chimelong Safari Park discovery rows from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_4,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Changsha Ecological Zoo, Shenzhen Safari Park, Yunnan Wild Animal Park, and Ningbo Wildlife Park discovery rows from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_5,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Wild World Jinan, Guanghe Valley Tourist Resort/Tianjin Fude Zoo, Ziqing Lake, Langzhong, Jilin Provincial Siberian Tiger Park, Qingdao, and Taiyuan discovery rows/context from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_6,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Linhu Guse Giant Panda Theme Park, Hainan Tropical Wildlife Park, Xiamen Haicang Safari Park, Baoxing Education Center, and Lanzhou Wildlife Park discovery rows/context from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_7,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Foping Panda Valley, Yangzhou Expo Park, Dongguan Xiangshi Zoo, Wenzhou Zoo, Tianmu Lake Nanshan Bamboo Sea/Guanmenshan context, Lingling Animal Kingdom, Sun Island Giant Panda Pavilion, and Quanzhou Haisi Safari Park discovery rows/context from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_8,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Tangshan Zoo, Cangzhou Zoo, Shijiazhuang Zoo, Aibao Safari Park, and All Love Park Animal Kingdom discovery rows/context from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_9,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Changyu Dongtian Panda Pavilion, China Bamboo Expo Park, Yancheng Safari Park, Nanjing Hongshan Forest Zoo, Yancheng Dafeng Port Zoo, Nantong Forest Safari Park, Wuxi Zoo Taihu Lake Amusement Park, and Suzhou Taihu Lake Wetland Park discovery rows/context from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_10,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current domestic base and zoo individuals.",partial,"Added CCRCGP Mianyang Base, Beichuan Giant Panda Flora and Fauna Park, China Bamboo Art City/Xing Lu profile, and Wuhan Zoo refreshed transfer context from GPG indexes; all rows need later primary-source/studbook promotion."
target_gpg_domestic_index_batch_11,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Xi'an Qinling Wildlife Park, Research Center for the Qinling Giant Panda, Shanghai Zoo, and Hangzhou Safari Park discovery rows from GPG indexes; all rows need later primary-source/studbook promotion and same-name reconciliation."
target_gpg_domestic_index_batch_12,2,Giant Panda Global domestic zoo indexes,China,"Continue fast discovery expansion for current, historical, and deceased domestic zoo individuals.",partial,"Added Fenghuang China Giant Panda Garden, Huaying Mountain Giant Panda Garden, Xining Wildlife Park, Shunan Bamboo Sea, Liuzhou Zoo, and Hefei Wild Animal Park discovery rows/context from GPG indexes and legacy archives; all rows need later primary-source/studbook promotion."
target_gpg_global_living_index_batch_13,2,Giant Panda Global living panda index,Global,"Use GPG's paginated living-panda index as a broad secondary discovery pass for individuals not surfaced by zoo-specific pages.",partial,"Added selected missing living-panda rows from GPG meet-world pages 1, 2, 3, and 6; all rows need later primary-source/studbook promotion and same-name reconciliation."
target_gpg_global_living_index_batch_14,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass from GPG's paginated living-panda index.",partial,"Added selected missing living-panda rows from GPG meet-world page 8 and enriched Singapore Jia Jia's birth date from that secondary listing; all rows need later primary-source/studbook promotion."
target_gpg_yaan_base_batch_15,2,Giant Panda Global Ya'an Base index,China,"Use the GPG CCRCGP Ya'an Base pages to capture current and historical/deceased individuals.",partial,"Added selected missing Ya'an Base current rows and deceased historical rows; all rows need later primary-source/studbook promotion and duplicate reconciliation with other facilities."
target_gpg_global_living_index_batch_16,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass from GPG's paginated living-panda index.",partial,"Added selected missing living-panda rows from GPG meet-world pages 9, 10, and 11; all rows need later primary-source/studbook promotion and same-name reconciliation."
target_gpg_global_living_index_batch_17,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass from GPG's paginated living-panda index.",partial,"Added selected missing living-panda rows from GPG meet-world page 15; all rows need later primary-source/studbook promotion and same-name reconciliation."
target_gpg_global_living_index_batch_18,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass from GPG's paginated living-panda index.",partial,"Added selected missing living-panda rows from GPG meet-world pages 16, 17, and 18 and merged the duplicate Macau Kai Kai secondary row into the official-backed row; all rows need later primary-source/studbook promotion."
target_gpg_global_living_index_batch_19,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass from GPG's paginated living-panda index.",partial,"Added the remaining selected missing rows from GPG meet-world page 16 plus Rui Bao from page 19; all rows need later primary-source/studbook promotion."
target_gpg_yaan_base_batch_20,2,Giant Panda Global Ya'an Base index,China,"Continue GPG CCRCGP Ya'an Base transfer-history capture.",partial,"Added Pu Pu from Ya'an Base previous page 7; related rows on the same page were already represented from other zoo-specific batches."
target_official_historic_deaths_batch_21,2,Official historic death notices and GPG missing living-index pages,Global,"Promote weak deceased/historic records where official or reliable notices are findable and continue filling GPG global-index page gaps.",partial,"Added Ocean Park An An/Jia Jia, Kobe Tan Tan, Basi, Chongqing Xinxing, Shuan Shuan, Pan Pan confirmation sources plus selected missing rows from GPG meet-world pages 5 and 7 and Ya'an previous page 6."
target_gpg_global_living_index_batch_22,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass from the current GPG paginated living-panda index.",partial,"Added selected 2022-2023 rows from GPG meet-world pages 25 and 26 and enriched several Chengdu 2022-class cub rows with secondary exact dates; all rows still need primary holder/studbook promotion."
target_gpg_global_living_index_batch_23,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass from the current GPG paginated living-panda index.",partial,"Added selected 2020-2021 rows from GPG meet-world pages 22 and 23, including Yueyang, Chengdu, Ya'an, Dujiangyan, Beauval, Urumqi, and Leheledu entries; all rows need primary holder/studbook promotion."
target_gpg_global_living_index_batch_24,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass from the GPG 2018-2020 captured listing.",partial,"Added Qatar Panda House, Shanghai Wild Animal Park, and Zoo Negara Malaysia discovery rows from GPG meet-world page 17 and enriched Vienna Lan Yun's exact birth date from the secondary index."
target_gpg_global_living_index_batch_25,2,Giant Panda Global living panda index,Global,"Continue broad secondary discovery pass for missed same-name rows in already captured GPG pages.",partial,"Added the separate 2011 Chongqing female Hao Qi from GPG meet-world page 11 after confirming the existing Hao Qi / Curious row was a different 2013 individual."
target_historic_deceased_batch_26,2,Historic deceased panda records,Global,"Continue filling deceased and historical captive panda records from official zoo pages, official media, and marked secondary profiles.",partial,"Added/updated Berlin Bao Bao, Tjen Tjen, Yan Yan, Chimelong/Xiangjiang Ming Ming, and Paris Yen Yen/Li Li; GPG-only rows remain needs_primary_source."
target_historic_short_term_loans_batch_27,2,Historic short-term panda loans,Global,"Capture pre-modern overseas short-term loans and deceased individuals that are absent from current living indexes.",partial,"Added Wan Wan, enriched Xi Xi's Antwerp/Jinan/Nanning trail, updated Su Su's death, and added Chuan Chuan from Chengdu/Netherlands context; secondary-only rows require studbook or zoo archive confirmation."
target_chengdu_zoo_historic_batch_28,2,Giant Panda Global Chengdu Zoo previous index,China,"Fill missing historic Chengdu Zoo deceased rows surfaced by GPG's previous-panda index.",partial,"Added Quan Quan (Sha Yan), Bing Bing (1986), and Pang; other visible Chengdu Zoo historic names were already represented under other facility-specific rows and still need studbook reconciliation."
target_chengdu_base_historic_batch_29,2,Giant Panda Global Chengdu Panda Base previous index,China,"Fill missing historic Chengdu Panda Base deceased rows surfaced by GPG's previous-panda index.",partial,"Added Jin Jin (1981) as a GPG-only deceased discovery row; remaining visible names were already represented but need same-name reconciliation."
target_beijing_zoo_historic_batch_30,2,Giant Panda Global Beijing Zoo previous index,China,"Fill missing historic Beijing Zoo deceased rows surfaced by GPG's previous-panda index.",partial,"Added Number 1, Number 2, San Xing, Dan Dan, Chang Chang, Shao Shao, and Yia Qing; skipped Yong Ming/Ei Mei because an official-backed Eimei row already exists."
target_london_zoo_historic_batch_31,2,London Zoo historic panda records,United Kingdom,"Promote and enrich historic London Zoo panda records using official museum/zoo timelines and archive articles.",partial,"Enriched Chi Chi, Ching Ching, Chia Chia, and Tjen Tjen with NHM/ZSL/Guardian/GPG/PandaNews sources; kept conflicting Ching Ching death date out of the structured field."
target_beijing_paris_historic_batch_32,2,Beijing Zoo and Paris historic panda records,Global,"Continue deceased/historic expansion using official death or museum pages plus GPG previous-index rows.",partial,"Updated Gu Gu's 2025 death from China Daily/Xinhua reports quoting Beijing Zoo, promoted Li Li with MNHN specimen evidence, and added remaining visible Beijing Zoo previous-index deceased discovery rows from pages 1-3; GPG-only rows need primary/studbook promotion."
target_memphis_lele_death_reconciliation_batch_33,2,Memphis Zoo Le Le death records,United States,"Resolve structured death date for a known deceased panda where earlier reports were inconsistent.",partial,"Set Le Le Memphis death date to 2023-02-01 using AP Wednesday-death timing plus GPG profile, while retaining partial evidence because original Memphis Zoo archive/studbook source is still preferred."
target_ueno_official_history_batch_34,2,Tokyo Zoological Park Society Ueno panda history,Japan,"Promote Ueno historic panda records from secondary discovery to official Tokyo Zoo history evidence.",complete,"Added official Ueno historical source, filled death dates for Lan Lan, Kang Kang, Fei Fei, Huan Huan, Chu Chu, Tong Tong, You You, and Ling Ling, upgraded Ueno birth/death events, and corrected Shuan Shuan death date from birthday to 2022-07-06."
target_madrid_historic_batch_35,2,Zoo Aquarium Madrid historic panda timeline,Spain,"Fill missing Madrid historic individuals and promote weak Beijing-index discovery rows using official Madrid Zoo history.",complete,"Updated Shao Shao and Chang Chang with Madrid arrival/death context, added missing Chu-Lin profile and events, and preserved birth-year conflicts for later studbook reconciliation."
target_vienna_longhui_batch_36,2,Vienna Zoo official panda history,Austria,"Promote Vienna breeding-founder records and deceased Long Hui from partial source state to official evidence.",complete,"Added Vienna Zoo overview/death/necropsy sources, filled Yang Yang and Long Hui birth dates, set Long Hui death date to 2016-12-09, and added the Long Hui death event."
target_taipei_tuantuan_duplicate_merge_batch_37,1,Taipei Zoo official Tuan Tuan profile,Taiwan,"Resolve duplicate Tuan Tuan curation rows by merging Hua Mei descendant discovery data into the official-backed Taipei Zoo profile.",complete,"Merged tuan-tuan-huamei into tuan-tuan, added Hua Mei mother linkage and official/secondary birth event sources, and reduced one duplicate conflict without losing the discovery evidence."
target_vienna_yangyang_duplicate_merge_batch_38,1,Vienna Zoo official Yang Yang profile,Austria,"Resolve GPG-only Yang Yang duplicate after official Vienna source confirmed the exact same 2000-08-10 female identity.",complete,"Removed yang-yang-gengda-2000 as a duplicate of official-backed yang-yang-vienna; GPG current-location conflict remains noted for future source reconciliation if it resurfaces."
target_ueno_youyou_duplicate_merge_batch_39,1,Tokyo Zoological Park Society You You profile,Japan,"Resolve GPG-only You You duplicate after official Ueno source confirmed the same 1988-06-23 male identity.",complete,"Merged you-you-shijiazhuang source hint into verified you-you-ueno and removed the duplicate row; possible later Shijiazhuang transfer context remains marked for studbook reconciliation."
target_early_us_uk_historic_batch_40,1,Early U.S. and U.K. historic panda records,Global,"Continue filling pre-1950 overseas and deceased panda records using zoo/museum archives, institution articles, and marked secondary studbook-style pages.",partial,"Added Su Lin, Mei-Mei, Mei Lan, Pandora, Pan, Pan-dee, Pan-dah, Ming, Tang, Sung, Happy, and Pao Pei; enriched Moscow Ping Ping and An An with diplomacy-history sources. Several month/year-only or secondary-only deaths still need primary zoo annual reports or studbook confirmation."
target_chichi_zsl_archive_batch_41,1,ZSL Archive Chi Chi authority record,United Kingdom,"Promote London Chi Chi details from secondary indexes to official ZSL archive/NHM specimen evidence.",complete,"Corrected Chi Chi's approximate birth text from weak 1954 secondary index to estimated January 1957 based on official ZSL capture age, added ZSL archive source, and created capture/London arrival/purchase/Moscow visit/death events."
target_dprk_diplomacy_batch_42,1,China.org/China Daily DPRK panda diplomacy records,Democratic People's Republic of Korea,"Fill missing DPRK state-gift panda rows from 1965-1980 diplomacy-history summaries, then seek primary DPRK/zoo/studbook confirmation.",partial,"Added Yihao, Erhao, Lingling, Sanxing, and Danan as historic/deceased inferred rows with one grouped transfer event; exact institutions, transfer years, sex, birth, and death details remain primary-source gaps."
target_gpg_yaan_base_batch_43,2,Giant Panda Global Ya'an Base previous index,China,"Close gaps in the visible GPG CCRCGP Ya'an Base previous-panda pagination.",partial,"Added previous pages 1, 3, and 5 as source records; merged clear alias/source coverage into Ri Ri/Bi Li, Shin Shin/Xian Nu, Xing Xing/Fu Wa, Liang Liang/Feng Yi, and Pan Pan. Most visible page rows already existed and still need primary/studbook promotion."
